Date,Symbol,Strategy,InstrumentToken,Qty,ENTRY_trigger_type,ENTRY_trigger_price,STOPLOSS_trigger_price,TARGET_trigger_price,R,ATR14,RSI14,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,Notes,Explanation,DecisionConfidence,CI_low,CI_high,OOS_WinRate,OOS_ExpectancyR,Trades_OOS,CoverageNote,Confidence_Reason,Audit_Flag,Issues,Fix_Suggestion,Pivot_Source,Entry_Logic,Stop_Logic,Target_Logic,Latest_Close,Latest_LTP,Delta_vs_Pivot_pct,Canonical_Entry,Canonical_Stop,Canonical_Target,ATR_Used,Risk_Amount
2025-12-22,RELIANCE,CompositeScore,,31,BELOW,1541.4,1509.57,1605.07,2.0,21.221,49.57,Neutral (30–70),0,0,2025-05-20,2024-10-07,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1541.40 (BELOW), Stop=1509.57 (ATR×1.5), Target=1605.07 (2R). RSI14=49.57 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (1565.10),Stop 1.5x ATR below entry (ATR=21.22),Target 2.0R from entry (Risk=31.85),1565.1,1565.1,-1.5142802376844815,1565.1000000000001,1533.25,1628.8000000000002,21.221428571428586,31.850000000000136
2025-12-22,TCS,CompositeScore,,13,BELOW,3197.36,3123.37,3345.35,2.0,49.329,75.03,Overbought (≥70),0,0,2024-12-11,2024-12-31,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=3197.36 (BELOW), Stop=3123.37 (ATR×1.5), Target=3345.35 (2R). RSI14=75.03 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 2.6% from canonical (3282.00),Use canonical ENTRY=3282.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (3282.00),Stop 1.5x ATR below entry (ATR=49.33),Target 2.0R from entry (Risk=74.00),3282.0,3282.0,-2.5789152955514894,3282.0,3208.0,3430.0,49.32857142857146,74.0
2025-12-22,HDFCLIFE,CompositeScore,,44,BELOW,764.73,742.2,809.78,2.0,15.018,49.83,Neutral (30–70),0,0,2025-04-28,2024-11-26,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=764.73 (BELOW), Stop=742.20 (ATR×1.5), Target=809.78 (2R). RSI14=49.83 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (766.45),Stop 1.5x ATR below entry (ATR=15.02),Target 2.0R from entry (Risk=22.55),766.45,766.45,-0.22441124665666737,766.45,743.9000000000001,811.5500000000001,15.017857142857135,22.549999999999955
2025-12-22,BRITANNIA,CompositeScore,,5,BELOW,5950.59,5777.29,6297.2,2.0,115.536,67.22,Neutral (30–70),0,0,2025-05-26,2024-11-13,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=5950.59 (BELOW), Stop=5777.29 (ATR×1.5), Target=6297.20 (2R). RSI14=67.22 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 2.5% from canonical (6103.00),Use canonical ENTRY=6103.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (6103.00),Stop 1.5x ATR below entry (ATR=115.54),Target 2.0R from entry (Risk=173.30),6103.0,6103.0,-2.49729641160085,6103.0,5929.700000000001,6449.6,115.53571428571428,173.29999999999927
2025-12-22,KOTAKBANK,CompositeScore,,21,BELOW,2147.58,2100.93,2240.88,2.0,31.1,53.94,Neutral (30–70),0,0,2025-01-21,2024-11-14,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2147.58 (BELOW), Stop=2100.93 (ATR×1.5), Target=2240.88 (2R). RSI14=53.94 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2159.50),Stop 1.5x ATR below entry (ATR=31.10),Target 2.0R from entry (Risk=46.65),2159.5,2159.5,-0.5519796249131778,2159.5,2112.85,2252.8,31.100000000000005,46.65000000000009
2025-12-22,HCLTECH,CompositeScore,,23,BELOW,1645.23,1603.1,1729.49,2.0,28.086,49.86,Neutral (30–70),0,0,2025-12-12,2025-03-04,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1645.23 (BELOW), Stop=1603.10 (ATR×1.5), Target=1729.49 (2R). RSI14=49.86 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (1642.40),Stop 1.5x ATR below entry (ATR=28.09),Target 2.0R from entry (Risk=42.15),1642.4,1642.4,0.17230881636628878,1642.4,1600.25,1726.7,28.08571428571429,42.15000000000009
2025-12-22,TITAN,CompositeScore,,10,BELOW,3868.59,3775.65,4054.46,2.0,61.957,54.44,Neutral (30–70),0,0,2025-05-19,2025-02-12,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=3868.59 (BELOW), Stop=3775.65 (ATR×1.5), Target=4054.46 (2R). RSI14=54.44 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (3930.10),Stop 1.5x ATR below entry (ATR=61.96),Target 2.0R from entry (Risk=92.95),3930.1,3930.1,-1.5651001246787553,3930.1000000000004,3837.15,4116.0,61.95714285714286,92.95000000000027
2025-12-22,LT,CompositeScore,,11,BELOW,4030.39,3940.72,4209.72,2.0,59.779,50.04,Neutral (30–70),0,0,2025-06-06,2025-01-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=4030.39 (BELOW), Stop=3940.72 (ATR×1.5), Target=4209.72 (2R). RSI14=50.04 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (4073.50),Stop 1.5x ATR below entry (ATR=59.78),Target 2.0R from entry (Risk=89.65),4073.5,4073.5,-1.0583036700626027,4073.5,3983.8500000000004,4252.8,59.77857142857147,89.64999999999964
2025-12-22,GRASIM,CompositeScore,,16,BELOW,2781.03,2721.49,2900.11,2.0,39.693,71.18,Overbought (≥70),0,0,2025-04-24,2024-12-27,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2781.03 (BELOW), Stop=2721.49 (ATR×1.5), Target=2900.11 (2R). RSI14=71.18 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2812.50),Stop 1.5x ATR below entry (ATR=39.69),Target 2.0R from entry (Risk=59.55),2812.5,2812.5,-1.1189333333333262,2812.5,2752.9500000000003,2931.6000000000004,39.69285714285717,59.54999999999973
2025-12-22,EICHERMOT,CompositeScore,,5,BELOW,7119.9,6939.36,7480.97,2.0,120.357,55.76,Neutral (30–70),0,0,2025-01-02,2024-12-17,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=7119.90 (BELOW), Stop=6939.36 (ATR×1.5), Target=7480.97 (2R). RSI14=55.76 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (7217.00),Stop 1.5x ATR below entry (ATR=120.36),Target 2.0R from entry (Risk=180.55),7217.0,7217.0,-1.345434391021205,7217.0,7036.450000000001,7578.1,120.35714285714286,180.54999999999927
2025-12-22,BHARTIARTL,CompositeScore,,22,BELOW,2092.65,2047.43,2183.1,2.0,30.15,51.81,Neutral (30–70),0,0,2024-08-16,2024-08-09,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2092.65 (BELOW), Stop=2047.43 (ATR×1.5), Target=2183.10 (2R). RSI14=51.81 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2097.70),Stop 1.5x ATR below entry (ATR=30.15),Target 2.0R from entry (Risk=45.20),2097.7,2097.7,-0.2407398579396352,2097.7000000000003,2052.5,2188.1,30.15000000000006,45.20000000000027
2025-12-22,SBILIFE,CompositeScore,,19,BELOW,2008.51,1957.29,2110.94,2.0,34.143,66.14,Neutral (30–70),0,0,2025-05-08,2024-10-31,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2008.51 (BELOW), Stop=1957.29 (ATR×1.5), Target=2110.94 (2R). RSI14=66.14 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2028.40),Stop 1.5x ATR below entry (ATR=34.14),Target 2.0R from entry (Risk=51.20),2028.4,2028.4,-0.9805758233090169,2028.4,1977.2,2130.8,34.14285714285711,51.200000000000045
2025-12-22,TATASTEEL,CompositeScore,,211,BELOW,168.94,164.22,178.38,2.0,3.146,50.11,Neutral (30–70),0,0,2025-05-20,2025-04-07,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=168.94 (BELOW), Stop=164.22 (ATR×1.5), Target=178.38 (2R). RSI14=50.11 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (168.69),Stop 1.5x ATR below entry (ATR=3.15),Target 2.0R from entry (Risk=4.70),168.69,168.69,0.14820084178078133,168.70000000000002,164.0,178.10000000000002,3.1457142857142872,4.700000000000017
2025-12-22,ICICIBANK,CompositeScore,,40,BELOW,1368.46,1343.81,1417.77,2.0,16.436,33.18,Neutral (30–70),0,0,2024-08-16,2024-08-13,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1368.46 (BELOW), Stop=1343.81 (ATR×1.5), Target=1417.77 (2R). RSI14=33.18 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (1354.10),Stop 1.5x ATR below entry (ATR=16.44),Target 2.0R from entry (Risk=24.65),1354.1,1354.1,1.0604829776235232,1354.1000000000001,1329.45,1403.4,16.435714285714294,24.65000000000009
2025-12-22,BAJAJFINSV,CompositeScore,,18,BELOW,2057.68,2002.23,2168.6,2.0,36.971,42.06,Neutral (30–70),0,0,2025-01-06,2024-12-31,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2057.68 (BELOW), Stop=2002.23 (ATR×1.5), Target=2168.60 (2R). RSI14=42.06 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2043.80),Stop 1.5x ATR below entry (ATR=36.97),Target 2.0R from entry (Risk=55.45),2043.8,2043.8,0.6791271161561738,2043.8000000000002,1988.3500000000001,2154.7000000000003,36.97142857142858,55.450000000000045
